Price,Position
,
"11968    11.1891
Name: Closing price, dtype: float64",-1
"11968    11.4781
Name: Closing price, dtype: float64",-1
"11968    11.1659
Name: Closing price, dtype: float64",1
"11968    10.9234
Name: Closing price, dtype: float64",-1
"11968    11.0566
Name: Closing price, dtype: float64",1
"11968    11.1
Name: Closing price, dtype: float64",-1
"11968    11.0867
Name: Closing price, dtype: float64",1
"11968    11.3531
Name: Closing price, dtype: float64",-1
"11968    11.0559
Name: Closing price, dtype: float64",1
"11968    11.1235
Name: Closing price, dtype: float64",-1
"11968    11.3142
Name: Closing price, dtype: float64",1
"11968    11.4014
Name: Closing price, dtype: float64",-1
"11968    11.3935
Name: Closing price, dtype: float64",1
"11968    11.2071
Name: Closing price, dtype: float64",-1
"11968    11.16
Name: Closing price, dtype: float64",1
"11968    11.1372
Name: Closing price, dtype: float64",-1
"11968    11.0525
Name: Closing price, dtype: float64",1
"11968    10.7513
Name: Closing price, dtype: float64",-1
"11968    10.5881
Name: Closing price, dtype: float64",1
"11968    10.6132
Name: Closing price, dtype: float64",-1
"11968    10.6067
Name: Closing price, dtype: float64",1
"11968    10.7258
Name: Closing price, dtype: float64",-1
"11968    10.5489
Name: Closing price, dtype: float64",1
"11968    10.6354
Name: Closing price, dtype: float64",-1
"11968    10.526
Name: Closing price, dtype: float64",1
"11968    10.48
Name: Closing price, dtype: float64",-1
"11968    10.4792
Name: Closing price, dtype: float64",1
"11968    10.6782
Name: Closing price, dtype: float64",-1
"11968    10.6314
Name: Closing price, dtype: float64",1
"11968    11.3999
Name: Closing price, dtype: float64",-1
"11968    11.4606
Name: Closing price, dtype: float64",1
"11968    10.479
Name: Closing price, dtype: float64",-1
"11968    10.3978
Name: Closing price, dtype: float64",1
"11968    10.4824
Name: Closing price, dtype: float64",-1
"11968    10.3395
Name: Closing price, dtype: float64",1
"11968    10.3707
Name: Closing price, dtype: float64",-1
"11968    10.5488
Name: Closing price, dtype: float64",1
"11968    10.6268
Name: Closing price, dtype: float64",-1
"11968    10.6403
Name: Closing price, dtype: float64",1
"11968    10.6925
Name: Closing price, dtype: float64",-1
"11968    10.5464
Name: Closing price, dtype: float64",1
"11968    10.4969
Name: Closing price, dtype: float64",-1
"11968    10.4449
Name: Closing price, dtype: float64",1
"11968    10.6019
Name: Closing price, dtype: float64",-1
"11968    10.506
Name: Closing price, dtype: float64",1
"11968    10.6154
Name: Closing price, dtype: float64",-1
"11968    10.6366
Name: Closing price, dtype: float64",1
"11968    10.0983
Name: Closing price, dtype: float64",-1
"11968    10.0159
Name: Closing price, dtype: float64",1
"11968    10.111
Name: Closing price, dtype: float64",-1
"11968    9.9643
Name: Closing price, dtype: float64",1
"11968    9.9042
Name: Closing price, dtype: float64",-1
"11968    9.8281
Name: Closing price, dtype: float64",1
"11968    9.6575
Name: Closing price, dtype: float64",-1
"11968    9.6315
Name: Closing price, dtype: float64",1
"11968    9.8375
Name: Closing price, dtype: float64",-1
"11969    9.8584
Name: Closing price, dtype: float64",1
"11968    9.8825
Name: Closing price, dtype: float64",-1
"11968    9.6736
Name: Closing price, dtype: float64",1
"11968    9.4804
Name: Closing price, dtype: float64",-1
"11968    9.4523
Name: Closing price, dtype: float64",1
"11968    9.4184
Name: Closing price, dtype: float64",-1
"11968    8.7532
Name: Closing price, dtype: float64",1
"11968    9.1763
Name: Closing price, dtype: float64",-1
"11968    9.1738
Name: Closing price, dtype: float64",1
"11968    9.1448
Name: Closing price, dtype: float64",-1
"11968    9.2295
Name: Closing price, dtype: float64",1
"11968    9.2834
Name: Closing price, dtype: float64",-1
"11968    9.3478
Name: Closing price, dtype: float64",1
"11968    9.3999
Name: Closing price, dtype: float64",-1
"11968    9.4313
Name: Closing price, dtype: float64",1
"14337    9.6082
Name: Closing price, dtype: float64",-1
"14337    9.5857
Name: Closing price, dtype: float64",1
"14337    9.8286
Name: Closing price, dtype: float64",-1
"14337    9.7318
Name: Closing price, dtype: float64",1
"14337    9.5611
Name: Closing price, dtype: float64",-1
"14337    9.5698
Name: Closing price, dtype: float64",1
"14337    9.6933
Name: Closing price, dtype: float64",-1
"14338    9.702
Name: Closing price, dtype: float64",1
"14337    9.4675
Name: Closing price, dtype: float64",-1
"14337    9.4039
Name: Closing price, dtype: float64",1
"14337    9.2713
Name: Closing price, dtype: float64",-1
"14337    9.2462
Name: Closing price, dtype: float64",1
"14337    9.1158
Name: Closing price, dtype: float64",-1
"14337    9.0724
Name: Closing price, dtype: float64",1
"11968    9.1463
Name: Closing price, dtype: float64",-1
"11968    8.8622
Name: Closing price, dtype: float64",1
"11968    8.998
Name: Closing price, dtype: float64",-1
"11968    9.2926
Name: Closing price, dtype: float64",1
"14337    9.1141
Name: Closing price, dtype: float64",-1
"14337    9.1315
Name: Closing price, dtype: float64",1
"14337    9.0363
Name: Closing price, dtype: float64",-1
"14337    9.1113
Name: Closing price, dtype: float64",1
"14337    9.25
Name: Closing price, dtype: float64",-1
"14337    9.3087
Name: Closing price, dtype: float64",1
"14337    9.4883
Name: Closing price, dtype: float64",-1
"14337    9.4476
Name: Closing price, dtype: float64",1
"14337    9.5563
Name: Closing price, dtype: float64",-1
"14337    9.4699
Name: Closing price, dtype: float64",1
"14337    9.5839
Name: Closing price, dtype: float64",-1
"14337    9.6186
Name: Closing price, dtype: float64",1
"14337    9.68
Name: Closing price, dtype: float64",-1
"14337    9.7043
Name: Closing price, dtype: float64",1
"14337    9.8615
Name: Closing price, dtype: float64",-1
"14337    10.0029
Name: Closing price, dtype: float64",1
